filename,fall_peak_time,peak_acceleration,total_samples,fall_samples,non_fall_samples
p10_waist_ff_1 (1).csv,1.707519,21.271507073408905,755,191,564
p10_waist_ff_1.csv,2.52178,22.59715469172292,1223,193,1030
p10_waist_ff_3.csv,1.646369,20.845382879295794,640,191,449
p1_waist_ff_1.csv,3.09858,23.39113892026176,1416,191,1225
p1_waist_ff_2.csv,2.308026,32.752004458635234,833,191,642
p1_waist_ff_3.csv,1.771485,22.380122215544127,779,191,588
p2_waist_ff_1.csv,2.502922,19.658010486090816,936,191,745
p2_waist_ff_2.csv,3.101086,18.333626400027402,831,191,640
p2_waist_ff_3.csv,3.167475,17.90407228979449,809,191,618
p3_waist_ff_1.csv,2.104265,28.29403745606347,842,191,651
p3_waist_ff_2.csv,1.843,25.129966348011642,787,191,596
p3_waist_ff_3.csv,3.310482,19.952144846626513,832,191,641
p4_waist_ff_1.csv,3.180494,21.53312118085431,959,191,768
p4_waist_ff_2.csv,2.048522,14.636642136824863,912,191,721
p4_waist_ff_3.csv,2.053334,19.0550534688192,728,191,537
p5_waist_ff_1.csv,2.714759,19.167826243079276,702,191,511
p5_waist_ff_2.csv,2.765174,24.891408793408747,645,191,454
p5_waist_ff_3.csv,2.298829,16.544339129000075,885,191,694
p6_waist_ff_1.csv,1.907068,12.345481977348648,739,191,548
p6_waist_ff_2.csv,2.038241,28.729733290988225,675,191,484
p6_waist_ff_3.csv,2.91545,22.589676870503723,804,191,613
p7_waist_ff_1.csv,4.168909,19.382929526923405,926,191,735
p7_waist_ff_2.csv,3.743876,17.29660438501576,904,193,711
p7_waist_ff_3.csv,2.367242,16.404535722085416,735,191,544
p8_waist_ff_1.csv,5.859606,25.25634849661623,1824,307,1517
p8_waist_ff_2.csv,4.450666,32.405120308141555,1236,203,1033
p8_waist_ff_3.csv,4.94115,14.101201378302111,1098,203,895
p9_waist_ff_1.csv,5.258172,25.610667940674613,1307,203,1104
p9_waist_ff_2.csv,3.984435,48.134796457405145,1248,211,1037
p9_waist_ff_3.csv,3.294852,37.60580728015676,1003,213,790
